region_code,total_weight,pct_single_parent_households,num_counties,region_name,state
DC-1,104622,43.85,1,District of Columbia,DC
KY-1,97014,28.034885686601932,9,Northern Kentucky,KY
KY-10,28608,32.33706935123043,4,East Central,KY
KY-2,151635,28.664738417911433,15,Bluegrass,KY
KY-3,208004,34.31629737889656,8,Louisville Metro,KY
KY-4,73926,30.74564253442632,21,Eastern Mountains,KY
KY-5,47672,30.74876699110589,14,Northeast,KY
KY-6,117584,29.717740849095115,22,South Central,KY
KY-7,53855,28.969577569399316,12,Pennyrile,KY
KY-8,36956,28.96143440848577,8,Purchase,KY
KY-9,48761,30.865389142962613,7,Western,KY
MD-1,44568,34.1678583288458,3,Western Maryland,MD
MD-2,418050,32.405980050233225,5,Central Maryland,MD
MD-3,447864,27.762369915867314,3,Capital Region,MD
MD-4,197879,24.592112149343794,4,Southern Maryland,MD
MD-5,44237,27.630048149738904,5,Upper Eastern Shore,MD
MD-6,37181,40.437816626771735,4,Lower Eastern Shore,MD
NC-1,55689,27.687117384043525,14,Western Mountains,NC
NC-10,152002,26.780011973526662,15,Coast,NC
NC-2,61568,28.006327962577963,2,Asheville Metro,NC
NC-3,151538,32.32734687009199,13,Western Piedmont,NC
NC-4,455753,29.95256720197124,7,Charlotte Metro,NC
NC-5,305661,34.92838752735874,9,Triad,NC
NC-6,384134,26.90347636501846,9,Triangle,NC
NC-7,170154,36.28452654654019,9,Sandhills,NC
NC-8,128529,37.26748025737382,8,Eastern Piedmont,NC
NC-9,139327,42.48343716580418,14,Coastal Plain,NC
TN-1,81098,31.316682532244943,8,First Tennessee,TN
TN-2,217804,28.290915272446785,16,Knoxville Metro,TN
TN-3,125471,30.975388655545903,11,Southeast Tennessee,TN
TN-4,63564,28.787380278144862,15,Upper Cumberland,TN
TN-5,429986,27.037626527375313,13,Nashville Metro,TN
TN-6,76154,30.45071526118129,10,South Central,TN
TN-7,97195,35.586778846648485,16,Northwest Tennessee,TN
TN-8,199394,46.620264401135444,2,Memphis Metro,TN
TN-9,14402,34.41753228718234,4,Southern Middle Tennessee,TN
VA-1,28087,32.987029586641505,8,Southwest Virginia,VA
VA-10,336108,34.71578209980125,16,Hampton Roads,VA
VA-11,7512,40.105403354632585,2,Eastern Shore,VA
VA-2,54246,26.535731113814844,13,New River Valley & Highlands,VA
VA-3,63298,41.380465733514484,16,Southside & Danville,VA
VA-4,56406,36.642257738538454,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,91183,28.835273790070516,12,Shenandoah Valley,VA
VA-6,99470,27.084200160852518,14,Charlottesville-Central Virginia,VA
VA-7,267902,30.319588543571903,16,Richmond Metro,VA
VA-8,605247,18.17411896300188,11,Northern Virginia,VA
VA-9,43417,29.870053665614854,14,Rappahannock,VA
WV-1,21754,33.852597223499124,5,Northern Panhandle,WV
WV-2,49475,26.974401616978273,8,North Central,WV
WV-3,49195,28.77318589287529,8,Eastern Panhandle,WV
WV-4,52355,36.278731735268835,11,Central,WV
WV-5,54917,28.697174281187973,8,Western,WV
WV-6,67046,31.24537481728962,13,Southern Coalfields,WV
WV-7,5152,29.073852872670805,2,Randolph-Pocahontas,WV
