region_code,total_weight,per_capita_income_growth_rate,num_counties,region_name,state
DC-1,670949,-0.29,1,District of Columbia,DC
KY-1,482215,0.547981419076553,9,Northern Kentucky,KY
KY-10,155659,0.37188527486364426,4,East Central,KY
KY-2,811347,0.4498201755845526,15,Bluegrass,KY
KY-3,1067013,0.07228664505493375,8,Louisville Metro,KY
KY-4,420876,-0.8851287790228001,21,Eastern Mountains,KY
KY-5,266470,-0.15991252298570197,14,Northeast,KY
KY-6,603238,0.7076215357785816,22,South Central,KY
KY-7,264018,-0.004563628237468675,12,Pennyrile,KY
KY-8,196908,-0.001442247140796715,8,Purchase,KY
KY-9,243819,0.028984246510731334,7,Western,KY
MD-1,251111,-0.05087081011982749,3,Western Maryland,MD
MD-2,2189746,-0.12744352998018946,5,Central Maryland,MD
MD-3,2287587,0.23975396782723457,3,Capital Region,MD
MD-4,972800,0.6826683285361842,4,Southern Maryland,MD
MD-5,247126,0.4817685310327525,5,Upper Eastern Shore,MD
MD-6,215611,0.361929632532663,4,Lower Eastern Shore,MD
NC-1,396234,0.6306612759127183,14,Western Mountains,NC
NC-10,911852,1.811063034352066,15,Coast,NC
NC-2,392088,0.8447430678827202,2,Asheville Metro,NC
NC-3,877248,0.46302647597942653,13,Western Piedmont,NC
NC-4,2272904,1.4668880119881877,7,Charlotte Metro,NC
NC-5,1634960,0.7311630437441895,9,Triad,NC
NC-6,1970538,1.555971227147104,9,Triangle,NC
NC-7,824706,0.7198584343996527,9,Sandhills,NC
NC-8,659038,0.9485962417948586,8,Eastern Piedmont,NC
NC-9,756397,-0.45870152843017614,14,Coastal Plain,NC
TN-1,525172,0.5400135193803173,8,First Tennessee,TN
TN-2,1292439,1.0255880316208348,16,Knoxville Metro,TN
TN-3,723251,0.9151509641880897,11,Southeast Tennessee,TN
TN-4,384055,1.2754127664006458,15,Upper Cumberland,TN
TN-5,2165618,1.5523639949427832,13,Nashville Metro,TN
TN-6,395977,1.6764301461953597,10,South Central,TN
TN-7,516369,-0.04058895867102788,16,Northwest Tennessee,TN
TN-8,959695,-0.23413439686567086,2,Memphis Metro,TN
TN-9,86400,0.09782893518518516,4,Southern Middle Tennessee,TN
VA-1,141443,-0.987741422339741,6,Southwest Virginia,VA
VA-10,1543516,0.17395030566576566,10,Hampton Roads,VA
VA-11,45201,-0.25949824118935416,2,Eastern Shore,VA
VA-2,144724,-0.38758982615184767,7,New River Valley & Highlands,VA
VA-3,224154,-0.2767499130062368,10,Southside & Danville,VA
VA-4,140676,-0.2088707384344167,4,Roanoke Valley & Alleghany Highlands,VA
VA-5,127744,0.6451099073146292,5,Shenandoah Valley,VA
VA-6,301876,0.9935240959864315,10,Charlottesville-Central Virginia,VA
VA-7,1166456,0.9957524072918309,10,Richmond Metro,VA
VA-8,1059361,1.014016742168156,5,Northern Virginia,VA
VA-9,227851,0.9184158507094549,13,Rappahannock,VA
WV-1,135072,-1.017039504856669,5,Northern Panhandle,WV
WV-2,307869,-0.22032643754324083,8,North Central,WV
WV-3,287347,1.1347926026720307,8,Eastern Panhandle,WV
WV-4,301027,-1.0563676015772672,11,Central,WV
WV-5,309404,-0.6497664218949982,8,Western,WV
WV-6,397967,-1.2158051798264682,13,Southern Coalfields,WV
WV-7,35349,-0.7870516846303997,2,Randolph-Pocahontas,WV
