region_code,total_weight,poverty_rate,num_counties,region_name,state
DC-1,649184,15.100000000000001,1,District of Columbia,DC
KY-1,447666,10.441722623563104,7,Northern Kentucky,KY
KY-10,151994,21.38466656578549,4,East Central,KY
KY-2,776697,14.126590884218684,15,Bluegrass,KY
KY-3,999963,12.815228373449816,7,Louisville Metro,KY
KY-4,401476,27.520121028405182,20,Eastern Mountains,KY
KY-5,240807,20.022302300182304,13,Northeast,KY
KY-6,448669,19.093635285700593,20,South Central,KY
KY-7,225870,16.890489219462523,11,Pennyrile,KY
KY-8,190035,16.696181335017233,8,Purchase,KY
KY-9,238789,15.56838057866987,7,Western,KY
MD-1,236246,13.103576949450995,3,Western Maryland,MD
MD-2,2153864,11.151756554731405,5,Central Maryland,MD
MD-3,2252771,8.054788995419418,3,Capital Region,MD
MD-4,947324,5.891184726661628,4,Southern Maryland,MD
MD-5,239979,9.64269427741594,5,Upper Eastern Shore,MD
MD-6,204136,13.222996482736999,4,Lower Eastern Shore,MD
NC-1,373900,15.967220326290452,14,Western Mountains,NC
NC-10,839569,11.516923242759082,15,Coast,NC
NC-2,377761,11.282633252241498,2,Asheville Metro,NC
NC-3,851446,14.928904698595096,13,Western Piedmont,NC
NC-4,2173937,10.488935990325386,7,Charlotte Metro,NC
NC-5,1565848,14.899218078638539,9,Triad,NC
NC-6,1855948,10.05948772271637,9,Triangle,NC
NC-7,780962,16.497724972533877,9,Sandhills,NC
NC-8,614152,15.979790312495929,7,Eastern Piedmont,NC
NC-9,733119,20.769287523580758,14,Coastal Plain,NC
TN-1,503994,16.370370917114094,8,First Tennessee,TN
TN-2,1233605,13.625181269531172,16,Knoxville Metro,TN
TN-3,688671,13.700101775739068,11,Southeast Tennessee,TN
TN-4,363481,16.34235638176411,15,Upper Cumberland,TN
TN-5,2063946,10.853546003626063,13,Nashville Metro,TN
TN-6,376777,13.113500266736027,10,South Central,TN
TN-7,404339,16.266171455140366,15,Northwest Tennessee,TN
TN-8,951447,17.75059215069258,2,Memphis Metro,TN
TN-9,78609,17.78479766947805,4,Southern Middle Tennessee,TN
VA-1,175420,20.786639379774254,8,Southwest Virginia,VA
VA-10,1685451,10.771745212409021,16,Hampton Roads,VA
VA-11,44805,16.122068965517244,2,Eastern Shore,VA
VA-2,347925,17.95821691456492,13,New River Valley & Highlands,VA
VA-3,385559,17.031192476378454,16,Southside & Danville,VA
VA-4,309580,12.389639608501842,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,487676,11.462260906831585,12,Shenandoah Valley,VA
VA-6,559849,11.736164412189716,14,Charlottesville-Central Virginia,VA
VA-7,1399258,9.75312438449521,16,Richmond Metro,VA
VA-8,2741662,5.824109904867924,11,Northern Virginia,VA
VA-9,242588,11.18169427176942,14,Rappahannock,VA
WV-1,133402,14.087997406335738,5,Northern Panhandle,WV
WV-2,293774,16.81974493998788,8,North Central,WV
WV-3,275037,11.836289662845362,8,Eastern Panhandle,WV
WV-4,299569,17.45318364049685,11,Central,WV
WV-5,305420,16.108778141575534,8,Western,WV
WV-6,396630,21.214652144315863,13,Southern Coalfields,WV
WV-7,33051,16.591724304862183,2,Randolph-Pocahontas,WV
