region_code,total_weight,total_employment_growth_rate,num_counties,region_name,state
DC-1,67776148,5.63,1,District of Columbia,DC
KY-1,29539483,7.031831515805473,9,Northern Kentucky,KY
KY-10,6702948,7.1380396416621466,4,East Central,KY
KY-2,44284053,6.428018453505148,15,Bluegrass,KY
KY-3,67113027,6.659838347181092,8,Louisville Metro,KY
KY-4,16989647,5.9175008945153476,21,Eastern Mountains,KY
KY-5,11185321,6.219944045414522,14,Northeast,KY
KY-6,27514292,7.354679847477087,22,South Central,KY
KY-7,12085131,6.655292219836095,12,Pennyrile,KY
KY-8,10368775,7.97395186702383,8,Purchase,KY
KY-9,11998654,7.181485149917648,7,Western,KY
MD-1,13001958,4.961936031480796,3,Western Maryland,MD
MD-2,154577723,5.2071335548137165,5,Central Maryland,MD
MD-3,171806169,4.240809443402466,3,Capital Region,MD
MD-4,72188054,5.5725277481506845,4,Southern Maryland,MD
MD-5,16766676,6.501275214001868,5,Upper Eastern Shore,MD
MD-6,11400704,6.6953394500901,4,Lower Eastern Shore,MD
NC-1,18910366,7.37816023391615,14,Western Mountains,NC
NC-10,52323721,8.492511281642223,15,Coast,NC
NC-2,23526103,7.674163823477268,2,Asheville Metro,NC
NC-3,43641229,7.509953324412564,13,Western Piedmont,NC
NC-4,154283696,8.463628049071367,7,Charlotte Metro,NC
NC-5,87696226,6.985221223430984,9,Triad,NC
NC-6,139678997,8.59683639488047,9,Triangle,NC
NC-7,40127605,7.477876425218998,9,Sandhills,NC
NC-8,32398171,7.353861203152486,8,Eastern Piedmont,NC
NC-9,37972719,6.997367967777078,14,Coastal Plain,NC
TN-1,25059669,6.368278101757849,8,First Tennessee,TN
TN-2,71464507,8.128202472032726,16,Knoxville Metro,TN
TN-3,39163967,6.558554466660643,11,Southeast Tennessee,TN
TN-4,17081348,7.169625041302361,15,Upper Cumberland,TN
TN-5,160026524,8.970553587604016,13,Nashville Metro,TN
TN-6,19165030,7.903583627575851,10,South Central,TN
TN-7,24501103,6.181097255499068,16,Northwest Tennessee,TN
TN-8,57472465,5.162086492375088,2,Memphis Metro,TN
TN-9,3434708,5.616292412630128,4,Southern Middle Tennessee,TN
VA-1,6076299,6.116154927530722,6,Southwest Virginia,VA
VA-10,88230806,6.233208386308974,10,Hampton Roads,VA
VA-11,2606696,4.939836739688863,2,Eastern Shore,VA
VA-2,6702418,6.912264952737953,7,New River Valley & Highlands,VA
VA-3,10219925,7.124367259055228,10,Southside & Danville,VA
VA-4,7723610,6.710970875018288,4,Roanoke Valley & Alleghany Highlands,VA
VA-5,7294604,7.002924527500054,5,Shenandoah Valley,VA
VA-6,15978396,6.509754729448439,10,Charlottesville-Central Virginia,VA
VA-7,82964859,6.539531294930543,10,Richmond Metro,VA
VA-8,102583354,6.628905043697441,5,Northern Virginia,VA
VA-9,13256140,6.457088537085457,13,Rappahannock,VA
WV-1,7356006,3.820835774195943,5,Northern Panhandle,WV
WV-2,16173085,5.193343709626209,8,North Central,WV
WV-3,15027473,7.219372932495038,8,Eastern Panhandle,WV
WV-4,15241433,4.439820423053397,11,Central,WV
WV-5,16156172,5.227211506537563,8,Western,WV
WV-6,17324050,4.161428598393563,13,Southern Coalfields,WV
WV-7,1660685,4.795271499411387,2,Randolph-Pocahontas,WV
