region_code,total_weight,unemployment_rate,num_counties,region_name,state
DC-1,670587,7.11,1,District of Columbia,DC
KY-1,477272,3.9077057107896547,9,Northern Kentucky,KY
KY-10,154727,4.818857600806582,4,East Central,KY
KY-2,805409,4.888856245708702,15,Bluegrass,KY
KY-3,1068385,4.808450193516382,8,Louisville Metro,KY
KY-4,429639,8.244909074827937,21,Eastern Mountains,KY
KY-5,267313,5.797963510940359,14,Northeast,KY
KY-6,594761,5.539098612720068,22,South Central,KY
KY-7,264096,6.162727265842723,12,Pennyrile,KY
KY-8,196820,3.87084031094401,8,Purchase,KY
KY-9,244513,4.379396023933288,7,Western,KY
MD-1,251662,5.428114653781659,3,Western Maryland,MD
MD-2,2201580,5.113779517437477,5,Central Maryland,MD
MD-3,2287928,5.479928865768503,3,Capital Region,MD
MD-4,962202,4.131431456180719,4,Southern Maryland,MD
MD-5,244464,4.2004775754303285,5,Upper Eastern Shore,MD
MD-6,213871,6.591563746370476,4,Lower Eastern Shore,MD
NC-1,390909,5.3508210350746594,14,Western Mountains,NC
NC-10,876002,5.398753416088091,15,Coast,NC
NC-2,385918,3.60680229997046,2,Asheville Metro,NC
NC-3,868161,5.482985390958589,13,Western Piedmont,NC
NC-4,2208509,4.694477228754785,7,Charlotte Metro,NC
NC-5,1610658,5.1316888749815295,9,Triad,NC
NC-6,1911144,4.304310324078144,9,Triangle,NC
NC-7,812266,6.765141172965507,9,Sandhills,NC
NC-8,647204,5.7171954901391215,8,Eastern Piedmont,NC
NC-9,759443,6.418313790501723,14,Coastal Plain,NC
TN-1,518378,6.094760213589311,8,First Tennessee,TN
TN-2,1262694,4.7112454086263185,16,Knoxville Metro,TN
TN-3,709337,4.912920755578801,11,Southeast Tennessee,TN
TN-4,373741,4.523084729799513,15,Upper Cumberland,TN
TN-5,2105705,4.146391555322326,13,Nashville Metro,TN
TN-6,382868,4.516354200403272,10,South Central,TN
TN-7,516321,5.726268987703387,16,Northwest Tennessee,TN
TN-8,968668,7.253248171716212,2,Memphis Metro,TN
TN-9,86060,7.094855101092261,4,Southern Middle Tennessee,TN
VA-1,184086,6.305484067229448,8,Southwest Virginia,VA
VA-10,1746362,5.262079374150377,16,Hampton Roads,VA
VA-11,45499,4.007308951845095,2,Eastern Shore,VA
VA-2,368341,3.8752771209287045,13,New River Valley & Highlands,VA
VA-3,409220,4.438918454620986,16,Southside & Danville,VA
VA-4,321586,4.044288775008862,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,4.320505784022414,12,Shenandoah Valley,VA
VA-6,589168,4.189443893762052,14,Charlottesville-Central Virginia,VA
VA-7,1431547,4.891836747239175,16,Richmond Metro,VA
VA-8,2770137,3.840692074074315,11,Northern Virginia,VA
VA-9,251392,5.217429751145621,14,Rappahannock,VA
WV-1,138420,5.803783846264991,5,Northern Panhandle,WV
WV-2,308973,6.29799710654329,8,North Central,WV
WV-3,280234,5.2183077356780405,8,Eastern Panhandle,WV
WV-4,307182,6.828916147430514,11,Central,WV
WV-5,313405,4.882068058901421,8,Western,WV
WV-6,408808,7.560615178763625,13,Southern Coalfields,WV
WV-7,35945,7.46566977326471,2,Randolph-Pocahontas,WV
