region_id,region_name,county_name,state_fips,county_fips
1,Region I Planning and Development Council,McDowell County,54,54047
1,Region I Planning and Development Council,Mercer County,54,54055
1,Region I Planning and Development Council,Monroe County,54,54063
1,Region I Planning and Development Council,Raleigh County,54,54081
1,Region I Planning and Development Council,Summers County,54,54089
1,Region I Planning and Development Council,Wyoming County,54,54109
2,Region II Planning and Development Council,Cabell County,54,54011
2,Region II Planning and Development Council,Lincoln County,54,54043
2,Region II Planning and Development Council,Logan County,54,54045
2,Region II Planning and Development Council,Mason County,54,54053
2,Region II Planning and Development Council,Mingo County,54,54059
2,Region II Planning and Development Council,Wayne County,54,54099
3,Region III - BCKP Regional Intergovernmental Council,Fayette County,54,54019
3,Region III - BCKP Regional Intergovernmental Council,Greenbrier County,54,54025
3,Region III - BCKP Regional Intergovernmental Council,Nicholas County,54,54067
3,Region III - BCKP Regional Intergovernmental Council,Pocahontas County,54,54075
3,Region III - BCKP Regional Intergovernmental Council,Webster County,54,54101
4,Region IV Planning and Development Council,Boone County,54,54005
4,Region IV Planning and Development Council,Clay County,54,54015
4,Region IV Planning and Development Council,Kanawha County,54,54039
4,Region IV Planning and Development Council,Putnam County,54,54079
5,Region V - Mid-Ohio Valley Regional Council,Calhoun County,54,54013
5,Region V - Mid-Ohio Valley Regional Council,Jackson County,54,54035
5,Region V - Mid-Ohio Valley Regional Council,Pleasants County,54,54073
5,Region V - Mid-Ohio Valley Regional Council,Ritchie County,54,54085
5,Region V - Mid-Ohio Valley Regional Council,Roane County,54,54087
5,Region V - Mid-Ohio Valley Regional Council,Tyler County,54,54095
5,Region V - Mid-Ohio Valley Regional Council,Wirt County,54,54105
5,Region V - Mid-Ohio Valley Regional Council,Wood County,54,54107
6,Region VI Planning and Development Council,Doddridge County,54,54017
6,Region VI Planning and Development Council,Harrison County,54,54033
6,Region VI Planning and Development Council,Marion County,54,54049
6,Region VI Planning and Development Council,Monongalia County,54,54061
6,Region VI Planning and Development Council,Preston County,54,54077
6,Region VI Planning and Development Council,Taylor County,54,54091
7,Region VII Planning and Development Council,Barbour County,54,54001
7,Region VII Planning and Development Council,Braxton County,54,54007
7,Region VII Planning and Development Council,Gilmer County,54,54021
7,Region VII Planning and Development Council,Lewis County,54,54041
7,Region VII Planning and Development Council,Randolph County,54,54083
7,Region VII Planning and Development Council,Tucker County,54,54093
7,Region VII Planning and Development Council,Upshur County,54,54097
8,Region VIII Planning and Development Council,Grant County,54,54023
8,Region VIII Planning and Development Council,Hampshire County,54,54027
8,Region VIII Planning and Development Council,Hardy County,54,54031
8,Region VIII Planning and Development Council,Mineral County,54,54057
8,Region VIII Planning and Development Council,Pendleton County,54,54071
9,Region IX - Eastern Panhandle Regional Planning and Development Council,Berkeley County,54,54003
9,Region IX - Eastern Panhandle Regional Planning and Development Council,Jefferson County,54,54037
9,Region IX - Eastern Panhandle Regional Planning and Development Council,Morgan County,54,54065
10,Region X - Bel-O-Mar Regional Council,Marshall County,54,54051
10,Region X - Bel-O-Mar Regional Council,Ohio County,54,54069
10,Region X - Bel-O-Mar Regional Council,Wetzel County,54,54103
11,Region XI - Brooke-Hancock Regional Planning and Development Council,Brooke County,54,54009
11,Region XI - Brooke-Hancock Regional Planning and Development Council,Hancock County,54,54029
